category,subcategory,question,answer
YONO Business,Trade Finance,Under what circumstances does an eTrade transaction get locked?,"Transactions may get locked due to inactivity, validation errors or system issues."
YONO Business,Trade Finance,How can a locked eTrade transaction be unlocked?,"Locked transactions can be unlocked by the branch or authorised personnel."
YONO Business,Trade Finance,From where can the transaction be accessed after unlock?,"Once unlocked, the transaction can be accessed from the transaction dashboard."
YONO Business,Trade Finance,Will my work get auto saved in eTrade?,"Yes, eTrade supports auto-save to prevent data loss during system or network failure."
YONO Business,Trade Finance,How can I save a template in eTrade?,"Users can save templates while creating transactions for future reuse."
YONO Business,Trade Finance,How can I delete my transaction in eTrade?,"Transactions can be deleted before submission as per user rights."
YONO Business,Trade Finance,Where can a checker see transaction details in eTrade?,"Checkers can view transaction details in their pending or approval queue."
YONO Business,Trade Finance,How can I check the status of my eTrade transaction?,"Transaction status can be viewed from the transaction tracking section."
YONO Business,Trade Finance,From where can I view past eTrade transactions?,"Past transactions are available in the transaction history section."
YONO Business,Trade Finance,How can I download my eTrade application?,"Applications can be downloaded from the transaction details page."
YONO Business,Trade Finance,Can I cancel a letter of credit after opening?,"Cancellation of LC is subject to bank rules and beneficiary consent where applicable."
YONO Business,Trade Finance,Can the branch view documents uploaded in eTrade?,"Yes, uploaded documents are visible to the concerned branch."
YONO Business,Trade Finance,What is Export LC Advising?,"Export LC Advising is the process of advising an export letter of credit to the beneficiary."
YONO Business,Trade Finance,What is Export LC Confirmation?,"Export LC Confirmation is an additional guarantee by a bank ensuring payment under the LC."
YONO Business,Trade Finance,What is the prerequisite for availing Buyers Credit?,"Prerequisites include sanctioned limits and compliance with SBI guidelines."
YONO Business,Trade Finance,What is Advance Import Payment?,"Advance Import Payment is payment made to an overseas supplier before shipment."
YONO Business,Trade Finance,What is Pre Shipment Credit?,"Pre Shipment Credit is financing provided to exporters before shipment of goods."
YONO Business,Trade Finance,What is Post Shipment Credit?,"Post Shipment Credit is financing provided after shipment of export goods."
YONO Business,Trade Finance,What is PCFC facility?,"PCFC is Pre-shipment Credit in Foreign Currency offered to exporters."
YONO Business,Trade Finance,In which currencies is PCFC available?,"PCFC is available in major foreign currencies as permitted by SBI."
YONO Business,Trade Finance,What is e BG Electronic Bank Guarantee?,"e-BG is a digital bank guarantee issued electronically through SBI systems."
YONO Business,Trade Finance,How can an applicant request for e Bank Guarantee?,"Applicants can request e-BG through YONO Business or by coordinating with their branch."
